Order,UID,Barcode,I,year,row,genotype,note,pedigree,field,experiment,sublock,Block,pheno,G,K,DNA,instructions,planting,row length,Plant Number,Germinated plants
2230,22HL_2230,22HL_2230_BGEM-0300-S_BGEM-0300-S,GX,2022,2230,BGEM-0300-S,BGEM_Tall_early,BGEM-0300-S,Havelock,LN,sb4,BK2,yes,,20,,Open pollination,,15 FT,,
2231,22HL_2231,22HL_2231_BGEM-0078-N_BGEM-0078-N,GX,2022,2231,BGEM-0078-N,BGEM_Tall_early,BGEM-0078-N,Havelock,LN,sb4,BK2,yes,,20,,Open pollination,,15 FT,,
2232,22HL_2232,22HL_2232_BGEM-0299-N_BGEM-0299-N,GX,2022,2232,BGEM-0299-N,BGEM_Tall_early,BGEM-0299-N,Havelock,LN,sb4,BK2,yes,,20,,Open pollination,,15 FT,,
2233,22HL_2233,22HL_2233_BGEM-0302-S_BGEM-0302-S,GX,2022,2233,BGEM-0302-S,BGEM_Tall_early,BGEM-0302-S,Havelock,LN,sb4,BK2,yes,,20,,Open pollination,,15 FT,,
2234,22HL_2234,22HL_2234_BGEM-0145-N_BGEM-0145-N,GX,2022,2234,BGEM-0145-N,BGEM_Tall_early,BGEM-0145-N,Havelock,LN,sb4,BK2,yes,,20,,Open pollination,,15 FT,,
2235,22HL_2235,22HL_2235_BGEM-0199-S_BGEM-0199-S,GX,2022,2235,BGEM-0199-S,BGEM_Tall_early,BGEM-0199-S,Havelock,LN,sb4,BK2,yes,,20,,Open pollination,,15 FT,,
2236,22HL_2236,22HL_2236_BGEM-0122-N_BGEM-0122-N,GX,2022,2236,BGEM-0122-N,BGEM_Tall_early,BGEM-0122-N,Havelock,LN,sb4,BK2,yes,,20,,Open pollination,,15 FT,,
2237,22HL_2237,22HL_2237_B73_21S0068,GX,2022,2237,B73,BGEM_Tall_early,21S0068,Havelock,LN,sb4,BK2,yes,,20,,Open pollination,,15 FT,,
2238,22HL_2238,22HL_2238_BGEM-0054-S_21S0521,GX,2022,2238,BGEM-0054-S,BGEM_Tall_early,21S0521,Havelock,LN,sb4,BK2,yes,,20,,Open pollination,,15 FT,,
2239,22HL_2239,22HL_2239_BGEM-0146-N_BGEM-0146-N,GX,2022,2239,BGEM-0146-N,BGEM_Tall_early,BGEM-0146-N,Havelock,LN,sb4,BK2,yes,,20,,Open pollination,,15 FT,,
